Title,genre1,genre2,genre3,genre4,genre5,genre6
5-tobun no Hanayome,comedy,drama,harem,romace,school life,shounen
180 Byou de Kimi no Mimi wo Shiawase ni Dekuiru ka,slice of life,-,-,-,-,-
Aharen-san wa Hakarenai,comedy,romace,shounen,school life,-,-
Akame ga Kill,action,fantasy,shounen,assasins,dark fantasy,-
Akebi-chan no Serafuku,seinen,school life,-,-,-,-
Akiba Maid Sensou,action,maid,-,-,-,-
Akudama Drive,action,sci fi,crime,criminals,thriller,-
Angel Beats!,action,comedy,drama,afterlife,school life,supranatural
Another,horror,mystery,curse,psychological,school life,supernatural
Araburu Kisetsu no Otome-domo yo,comedy,drama,romace,shounen,school life,school club
Arifureta Shokugyo de Sekai Saikyo,action,adventure,ecchi,fantasy,"hare,",isekai
Arknights: Reimei Zensou,action,based on a mobile game,-,-,-,-
Asobi Asobase,comedy,school life,school club,all girls school,-,-
Bakku Sutorito Garuzu,comedy,ecchi,seinen,idols,yakuza,gender bender
Binbougami Ga!,comedy,shounen,gods,school life,parody,supernatural
Blend S,comedy,seinen,cafe,work life,otaku culture,maid
Boku no Hiro Akademia,action,comedy,drama,sci fi,shounen,superheroes
Corpse Party,horror,mystery,curse,supernatural,-,-
Chainsaw Man,action,fantasy,horror,shounen,dark fantasy,demons
Danjon ni Deai o Motomeru no wa Machigatteiru Doro ka,action,comedy,fantasy,harem,romance,dungeon
Danshi Kokosei no Nichijo,comedy,shounen,slice of life,school life,all boys school,-
Darwin Game,action,drama,sci fi,shounen,play or die,-
Dr.Stone,adventure,comedy,sci fi,shounen,survival,educational
Drifters,action,fantasy,seinen,historical,isekai,samurai
Enen no Shobotai,action,comedy,drama,ecchi,firefighters,shounen
Engage Kiss,action,comedy,romace,demons,island,possessive lovers
Eroge H mo Game mo Kaihatsu Zanmai,hentai,workplace,-,-,-,-
Fantaji Bishojo Juniku Ojisan to,adventure,action,fantasy,romance,curse,isekai
Futoku no Guild,action,adventure,ecchi,fantasy,shounen,monster
"Fuufu Ijou, Koibito Miman",drama,ecchi,romace,seinen,fake romance,school life
Fumetsu no Anata e,adventure,drama,fantasy,shounen,survival,-
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekake-chu",action,adventure,fantasy,isekai,magic,monster
Ganbare Douki-chan,comedy,ecchi,romace,slice of life,work life,romantic comedy
Genjutsu Shugi Yuusha no Oukoku Saikenki,action,adventure,drama,fantasy,romace,isekai
Goburin Suraiya,action,adventure,fantasy,seinen,dark fantasy,magic
Gakushufudou,comedy,-,-,-,-,-
Hokozume - Kouban Joshi no Gyakushuu,comedy,slice of life,detective,workplace,-,-
Happi Shuga Raifu,drama,gl,horror,mystery,romance,shounen
Hataraku Saibo,action,comedy,shounen,educational,medical,-
Hinamatsuri,comedy,sci fi,seinen,slice of life,superpowers,yakuza
Honzuki no Gekokujo,drama,fantasy,cheats,economics,isekai,magic
Itai no wa Iya nano de Bougyortoku ni Kyokufuri Shitai to Omoimasu,action,adventure,comedy,fantasy,sci fi,mmorpg
